,X,Y,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
163,-118.62722222,37.53055556,164,167,FS-1419268,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,13,INF640,BZ9E,SHERWIN,,,,,,2005,2005-07-12 17:00:00.0000000,194,15:23:00.0000000,2,Equipment Use,2005-07-13 00:00:00.0000000,194.0,16:00:00.0000000,0.1,A,37.53055556,-118.62722222,5,USFS,CA,,,
164,-118.59833333,37.5150000000002,165,168,FS-1419271,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,22,INF690,BE0E,VISTA,,,,,,2005,2005-07-20 17:00:00.0000000,202,06:30:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,09:00:00.0000000,0.1,A,37.515,-118.59833333,5,USFS,CA,,,
853,-118.64111111,37.60027778,854,866,FS-1420701,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,50,INF880,BE0E,ROUND,,,,,,2005,2005-08-08 17:00:00.0000000,221,14:36:00.0000000,1,Lightning,2005-08-09 00:00:00.0000000,221.0,18:30:00.0000000,0.25,A,37.60027778,-118.64111111,5,USFS,CA,,,
857,-118.61027778,37.6113888900001,858,870,FS-1420722,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,57,INF949,BE0E,ARROW,,,,,,2005,2005-08-15 17:00:00.0000000,228,12:27:00.0000000,1,Lightning,2005-08-16 00:00:00.0000000,228.0,13:00:00.0000000,0.25,A,37.61138889,-118.61027778,5,USFS,CA,,,
1100,-118.66138889,37.55694444,1101,1113,FS-1421321,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,41,INF837,B3BZ,ROCK,,,,,,2005,2005-08-04 17:00:00.0000000,217,12:50:00.0000000,9,Miscellaneous,2005-08-05 00:00:00.0000000,217.0,20:00:00.0000000,12.0,C,37.55694444,-118.66138889,5,USFS,CA,,,
1535,-118.38305556,37.1263888899999,1536,1550,FS-1422262,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,59,INF1074,B5T1,GLACIER,,,,,,2005,2005-09-02 17:00:00.0000000,246,16:14:00.0000000,9,Miscellaneous,2005-09-03 00:00:00.0000000,246.0,20:00:00.0000000,0.5,B,37.12638889,-118.38305556,5,USFS,CA,,,
1705,-118.9475,37.73,1706,1720,FS-1422605,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,19,INF-686,BE0E,LOOKOUT,,,,,,2005,2005-07-19 17:00:00.0000000,201,20:45:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,15:00:00.0000000,0.1,A,37.73,-118.9475,5,USFS,CA,,,
1906,-118.935,37.80138889,1906,1921,FS-1422997,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,21,INF-689,BE0E,TUNNEL,,,,,,2005,2005-07-19 17:00:00.0000000,201,21:30:00.0000000,1,Lightning,2005-07-21 00:00:00.0000000,202.0,13:00:00.0000000,0.1,A,37.80138889,-118.935,5,USFS,CA,,,
1910,-119.05138889,37.6519444400001,1910,1925,FS-1423012,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,26,INF-711,BE0E,TRIPLETREE,,,,,,2005,2005-07-20 17:00:00.0000000,202,19:30:00.0000000,1,Lightning,2005-07-22 00:00:00.0000000,203.0,16:00:00.0000000,0.1,A,37.65194444,-119.05138889,5,USFS,CA,,,
1913,-118.76805556,37.75083333,1913,1928,FS-1423016,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,34,INF-763,BE0E,OWENS,,,,,,2005,2005-07-27 17:00:00.0000000,209,14:54:00.0000000,1,Lightning,2005-07-28 00:00:00.0000000,209.0,18:30:00.0000000,0.1,A,37.75083333,-118.76805556,5,USFS,CA,,,
1916,-118.88527778,37.60166667,1916,1931,FS-1423020,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,35,INF-764,BE0E,LAUREL,,,,,,2005,2005-07-27 17:00:00.0000000,209,15:19:00.0000000,1,Lightning,2005-07-28 00:00:00.0000000,209.0,20:05:00.0000000,0.1,A,37.60166667,-118.88527778,5,USFS,CA,,,
1921,-118.86888889,37.60111111,1921,1936,FS-1423037,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,39,INF792,BE0E,POND,,,,,,2005,2005-07-30 17:00:00.0000000,212,08:56:00.0000000,1,Lightning,2005-07-31 00:00:00.0000000,212.0,17:11:00.0000000,0.1,A,37.60111111,-118.86888889,5,USFS,CA,,,
1980,-118.81833333,37.6516666700001,1981,1996,FS-1423156,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,2,INF291,BQ1N,CINCO,,,,,,2005,2005-05-04 17:00:00.0000000,125,09:20:00.0000000,4,Campfire,2005-05-05 00:00:00.0000000,125.0,10:30:00.0000000,0.1,A,37.65166667,-118.81833333,5,USFS,CA,,,
2145,-119.01666667,37.7513888900001,2145,2160,FS-1423529,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,58,INF-1066,B5RB,GLASS,,,,,,2005,2005-09-01 17:00:00.0000000,245,14:52:00.0000000,7,Arson,2005-09-05 00:00:00.0000000,248.0,14:30:00.0000000,20.0,C,37.75138889,-119.01666667,5,USFS,CA,,,
2151,-118.58444444,37.68472222,2151,2166,FS-1423548,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,14,INF-658,B0LD,LOG,,,,,,2005,2005-07-15 17:00:00.0000000,197,10:50:00.0000000,4,Campfire,2005-07-16 00:00:00.0000000,197.0,11:41:00.0000000,0.1,A,37.68472222,-118.58444444,5,USFS,CA,,,
3375,-118.97777778,37.79222222,3376,3394,FS-1425956,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,60,INF-1097,B56F,BIG HORN,,,,,,2005,2005-09-06 17:00:00.0000000,250,11:30:00.0000000,9,Miscellaneous,2005-09-07 00:00:00.0000000,250.0,16:26:00.0000000,0.1,A,37.79222222,-118.97777778,5,USFS,CA,,,
3579,-118.60444444,37.3786111100001,3580,3598,FS-1426322,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,63,INF1182,B66P,MUDD,,,,,,2005,2005-09-22 17:00:00.0000000,266,14:39:00.0000000,9,Miscellaneous,2005-09-23 00:00:00.0000000,266.0,21:00:00.0000000,32.0,C,37.37861111,-118.60444444,14,MISSING/NOT SPECIFIED,CA,,,
5140,-118.05222222,36.1188888900001,5141,5165,FS-1428861,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,48,873,BE0E,PASS,,,,,,2005,2005-08-07 17:00:00.0000000,220,10:00:00.0000000,1,Lightning,2005-08-10 00:00:00.0000000,222.0,11:30:00.0000000,0.25,A,36.11888889,-118.05222222,5,USFS,CA,,,
5196,-118.21916667,36.60527778,5197,5221,FS-1428967,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,25,710,BE0E,PORTAL,,,,,,2005,2005-07-20 17:00:00.0000000,202,18:00:00.0000000,1,Lightning,2005-07-23 00:00:00.0000000,204.0,18:00:00.0000000,60.0,C,36.60527778,-118.21916667,5,USFS,CA,,,
5205,-118.16944444,36.4577777800001,5206,5230,FS-1428986,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,8,471,BVW6,STUMP,,,,,,2005,2005-06-21 17:00:00.0000000,173,11:15:00.0000000,9,Miscellaneous,2005-06-22 00:00:00.0000000,173.0,17:00:00.0000000,0.1,A,36.45777778,-118.16944444,5,USFS,CA,,,
5214,-118.30222222,36.3372222200001,5215,5239,FS-1428997,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,40,828,BES4,BEAR,,,,,,2005,2005-08-03 17:00:00.0000000,216,08:41:00.0000000,1,Lightning,2005-09-01 00:00:00.0000000,244.0,17:45:00.0000000,0.1,A,36.33722222,-118.30222222,5,USFS,CA,,,
5218,-118.23333333,36.4311111100001,5219,5243,FS-1429010,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,45,863,BES4,SOUTH,,,,,,2005,2005-08-06 17:00:00.0000000,219,15:37:00.0000000,1,Lightning,2005-09-01 00:00:00.0000000,244.0,17:45:00.0000000,0.1,A,36.43111111,-118.23333333,5,USFS,CA,,,
5221,-118.2075,36.5,5222,5246,FS-1429022,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,49,874,BES4,MUIR,,,,,,2005,2005-08-07 17:00:00.0000000,220,11:53:00.0000000,1,Lightning,2005-09-01 00:00:00.0000000,244.0,17:45:00.0000000,0.1,A,36.5,-118.2075,5,USFS,CA,,,
5222,-118.18972222,36.43166667,5223,5247,FS-1429023,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,51,883,BES4,TRAIL,,,,,,2005,2005-08-08 17:00:00.0000000,221,15:41:00.0000000,1,Lightning,2005-09-01 00:00:00.0000000,244.0,17:45:00.0000000,0.1,A,36.43166667,-118.18972222,5,USFS,CA,,,
5225,-118.09666667,36.10638889,5226,5250,FS-1429026,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,37,773,BE0E,BALL,,,,,,2005,2005-07-28 17:00:00.0000000,210,09:00:00.0000000,1,Lightning,2005-07-30 00:00:00.0000000,211.0,15:00:00.0000000,0.1,A,36.10638889,-118.09666667,5,USFS,CA,,,
5229,-118.38527778,36.36583333,5230,5254,FS-1429030,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,67,1325,B6RS,VOLCANO,,,,,,2005,2005-11-02 16:00:00.0000000,307,12:55:00.0000000,1,Lightning,2005-12-02 00:00:00.0000000,336.0,12:00:00.0000000,3.0,B,36.36583333,-118.38527778,5,USFS,CA,,,
8462,-118.5675,37.5725000000001,8463,8504,FS-1434997,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,13,INF729,B6UP,CASA,,,,,,2006,2006-07-01 17:00:00.0000000,183,16:16:00.0000000,1,Lightning,2006-07-02 00:00:00.0000000,183.0,18:32:00.0000000,0.1,A,37.5725,-118.5675,5,USFS,CA,51.0,51.0,Mono
8742,-118.96027778,37.6786111100001,8743,8785,FS-1435367,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,8,INF686,B6UP,KNOLL,,,,,,2006,2006-06-28 17:00:00.0000000,180,10:35:00.0000000,1,Lightning,2006-06-29 00:00:00.0000000,180.0,15:30:00.0000000,0.25,A,37.67861111,-118.96027778,5,USFS,CA,51.0,51.0,Mono
9149,-118.61083333,37.5213888900001,9150,9193,FS-1436000,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,5,INF670,CSL1,GRADE,,,,,,2006,2006-06-26 17:00:00.0000000,178,11:16:00.0000000,2,Equipment Use,2006-06-27 00:00:00.0000000,178.0,15:31:00.0000000,0.5,B,37.52138889,-118.61083333,5,USFS,CA,51.0,51.0,Mono
9150,-118.55472222,37.3416666700001,9151,9194,FS-1436002,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,17,INF766,B6UP,BUTTERMILKS,,,,,,2006,2006-07-07 17:00:00.0000000,189,18:26:00.0000000,1,Lightning,2006-07-08 00:00:00.0000000,189.0,22:00:00.0000000,5.0,B,37.34166667,-118.55472222,13,STATE OR PRIVATE,CA,27.0,27.0,Inyo
9162,-118.57416667,37.3261111099999,9163,9206,FS-1436045,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,19,INF777,B6UP,CLIMBING,,,,,,2006,2006-07-08 17:00:00.0000000,190,16:18:00.0000000,1,Lightning,2006-07-09 00:00:00.0000000,190.0,17:43:00.0000000,0.1,A,37.32611111,-118.57416667,5,USFS,CA,27.0,27.0,Inyo
9164,-118.26444444,36.9763888900001,9165,9208,FS-1436048,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,15,INF665,CR7S,GOODALE,CA-BDU-006570,GOODALE,CA3696011828320060626,GOODALE,,2006,2006-06-25 17:00:00.0000000,177,14:37:00.0000000,1,Lightning,2006-06-30 00:00:00.0000000,181.0,08:00:00.0000000,3747.1,F,36.97638889,-118.26444444,14,MISSING/NOT SPECIFIED,CA,27.0,27.0,Inyo
9839,-118.93916667,37.86694444,9840,9886,FS-1437164,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,7,CA-INF-674,B6UP,BODIE STUMP,,,,,,2006,2006-06-26 17:00:00.0000000,178,17:30:00.0000000,1,Lightning,2006-06-27 00:00:00.0000000,178.0,19:30:00.0000000,0.1,A,37.86694444,-118.93916667,5,USFS,CA,51.0,51.0,Mono
9843,-118.80833333,37.8155555600001,9844,9890,FS-1437169,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,10,CA-INF-690,B6UP,WILD COW,,,,,,2006,2006-06-28 17:00:00.0000000,180,13:00:00.0000000,1,Lightning,2006-06-29 00:00:00.0000000,180.0,16:39:00.0000000,0.5,B,37.81555556,-118.80833333,5,USFS,CA,51.0,51.0,Mono
9848,-119.13611111,37.77833333,9849,9895,FS-1437175,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,24,CA-INF-830,B6UP,SILVER LAKE,,,,,,2006,2006-07-17 17:00:00.0000000,199,14:30:00.0000000,1,Lightning,2006-07-18 00:00:00.0000000,199.0,15:30:00.0000000,0.1,A,37.77833333,-119.13611111,5,USFS,CA,51.0,51.0,Mono
9852,-118.75944444,38.09722222,9853,9899,FS-1437179,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,26,CA-INF-842,B6UP,JUNIPER FIRE,,,,,,2006,2006-07-18 17:00:00.0000000,200,15:00:00.0000000,1,Lightning,2006-07-19 00:00:00.0000000,200.0,21:30:00.0000000,0.2,A,38.09722222,-118.75944444,5,USFS,CA,51.0,51.0,Mono
9857,-118.91472222,37.8502777800001,9858,9904,FS-1437184,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,28,CA-INF-852,B6UP,PILOT FIRE,,,,,,2006,2006-07-19 17:00:00.0000000,201,14:45:00.0000000,1,Lightning,2006-07-20 00:00:00.0000000,201.0,16:00:00.0000000,0.1,A,37.85027778,-118.91472222,5,USFS,CA,51.0,51.0,Mono
9892,-118.91277778,37.82666667,9893,9939,FS-1437237,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,29,CA-INF-853,B6UP,TANK FIRE,,,,,,2006,2006-07-19 17:00:00.0000000,201,11:30:00.0000000,1,Lightning,2006-07-20 00:00:00.0000000,201.0,19:00:00.0000000,0.1,A,37.82666667,-118.91277778,5,USFS,CA,51.0,51.0,Mono
10424,-118.83944444,37.6113888900001,10425,10473,FS-1437919,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,1,INF-423,CK7Y,CONVICT,,,,,,2006,2006-05-15 17:00:00.0000000,136,12:53:00.0000000,3,Smoking,2006-05-16 00:00:00.0000000,136.0,16:05:00.0000000,0.25,A,37.61138889,-118.83944444,5,USFS,CA,51.0,51.0,Mono
10431,-119.05277778,37.5438888899999,10432,10480,FS-1437926,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,4,INF-666,B6UP,FISH,,,,,,2006,2006-06-25 17:00:00.0000000,177,17:51:00.0000000,1,Lightning,2006-07-02 00:00:00.0000000,183.0,17:44:00.0000000,5.0,B,37.54388889,-119.05277778,5,USFS,CA,39.0,39.0,Madera
10432,-119.02111111,37.6980555600001,10433,10481,FS-1437927,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,9,INF-687,B6UP,FLAT,,,,,,2006,2006-06-28 17:00:00.0000000,180,10:35:00.0000000,1,Lightning,2006-06-30 00:00:00.0000000,181.0,12:26:00.0000000,0.25,A,37.69805556,-119.02111111,5,USFS,CA,51.0,51.0,Mono
10438,-118.98555556,37.655,10458,10506,FS-1437955,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,46,INF-1020,C2VX,HOLE IN ONE,,,,,,2006,2006-08-05 17:00:00.0000000,218,10:57:00.0000000,9,Miscellaneous,2006-08-06 00:00:00.0000000,218.0,19:41:00.0000000,0.1,A,37.655,-118.98555556,5,USFS,CA,51.0,51.0,Mono
10440,-119.03638889,37.6836111100001,10440,10488,FS-1437934,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,11,INF-696,B6UP,20 MINUTE,,,,,,2006,2006-06-29 17:00:00.0000000,181,09:03:00.0000000,1,Lightning,2006-07-01 00:00:00.0000000,182.0,12:00:00.0000000,0.1,A,37.68361111,-119.03638889,5,USFS,CA,51.0,51.0,Mono
10441,-118.91333333,37.69111111,10441,10489,FS-1437935,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,12,INF-721,CUC3,SHEEP,,,,,,2006,2006-07-01 17:00:00.0000000,183,11:10:00.0000000,4,Campfire,2006-07-02 00:00:00.0000000,183.0,16:54:00.0000000,0.5,B,37.69111111,-118.91333333,5,USFS,CA,51.0,51.0,Mono
10442,-119.00611111,37.67666667,10442,10490,FS-1437936,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,21,INF-797,CY6Y,SCENIC,,,,,,2006,2006-07-12 17:00:00.0000000,194,13:27:00.0000000,9,Miscellaneous,2006-07-13 00:00:00.0000000,194.0,17:05:00.0000000,0.1,A,37.67666667,-119.00611111,5,USFS,CA,51.0,51.0,Mono
10444,-118.73194444,37.7572222200001,10444,10492,FS-1437938,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,30,INF-855,B6UP,O'HARREL,,,,,,2006,2006-07-19 17:00:00.0000000,201,15:43:00.0000000,1,Lightning,2006-07-21 00:00:00.0000000,202.0,15:17:00.0000000,0.1,A,37.75722222,-118.73194444,5,USFS,CA,51.0,51.0,Mono
10445,-118.91361111,37.6655555600001,10445,10493,FS-1437940,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,23,INF-811,CY2H,SHOOTING,,,,,,2006,2006-07-14 17:00:00.0000000,196,16:21:00.0000000,9,Miscellaneous,2006-07-17 00:00:00.0000000,198.0,19:34:00.0000000,18.3,C,37.66555556,-118.91361111,5,USFS,CA,51.0,51.0,Mono
10451,-119.06305556,37.59888889,10451,10499,FS-1437948,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,31,INF-859,B6UP,PCT,,,,,,2006,2006-07-19 17:00:00.0000000,201,19:06:00.0000000,1,Lightning,2006-07-22 00:00:00.0000000,203.0,13:00:00.0000000,0.1,A,37.59888889,-119.06305556,5,USFS,CA,39.0,39.0,Madera
10452,-119.01888889,37.7455555600001,10452,10500,FS-1437949,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,32,INF-860,B6UP,DOME,,,,,,2006,2006-07-19 17:00:00.0000000,201,19:41:00.0000000,1,Lightning,2006-07-21 00:00:00.0000000,202.0,16:49:00.0000000,0.1,A,37.74555556,-119.01888889,5,USFS,CA,51.0,51.0,Mono
10453,-119.09666667,37.6050000000001,10453,10501,FS-1437950,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,33,INF-864,B6UP,FALLS,,,,,,2006,2006-07-20 17:00:00.0000000,202,14:49:00.0000000,1,Lightning,2006-07-22 00:00:00.0000000,203.0,20:00:00.0000000,0.1,A,37.605,-119.09666667,5,USFS,CA,39.0,39.0,Madera
10454,-119.09305556,37.61388889,10454,10502,FS-1437951,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,35,INF-868,B6UP,KING,,,,,,2006,2006-07-20 17:00:00.0000000,202,20:43:00.0000000,1,Lightning,2006-07-23 00:00:00.0000000,204.0,12:30:00.0000000,0.1,A,37.61388889,-119.09305556,5,USFS,CA,39.0,39.0,Madera
10455,-119.0275,37.6425000000001,10455,10503,FS-1437952,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,36,INF-906,B6UP,CHAIR 4,,,,,,2006,2006-07-23 17:00:00.0000000,205,07:59:00.0000000,1,Lightning,2006-07-24 00:00:00.0000000,205.0,09:27:00.0000000,0.1,A,37.6425,-119.0275,5,USFS,CA,51.0,51.0,Mono
10456,-118.96305556,37.6736111100001,10456,10504,FS-1437953,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,41,INF-955,C2D1,BACARDI,,,,,,2006,2006-07-29 17:00:00.0000000,211,08:26:00.0000000,4,Campfire,2006-07-30 00:00:00.0000000,211.0,09:30:00.0000000,0.1,A,37.67361111,-118.96305556,5,USFS,CA,51.0,51.0,Mono
10457,-118.99972222,37.66861111,10457,10505,FS-1437954,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,45,INF-1004,B6UP,MISERY,,,,,,2006,2006-08-03 17:00:00.0000000,216,17:45:00.0000000,1,Lightning,2006-08-05 00:00:00.0000000,217.0,16:00:00.0000000,0.1,A,37.66861111,-118.99972222,5,USFS,CA,51.0,51.0,Mono
10701,-119.07805556,37.6700000000001,10701,10749,FS-1438283,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,48,INF-1073,C3W8,AGNEW,,,,,,2006,2006-08-11 17:00:00.0000000,224,16:01:00.0000000,4,Campfire,2006-08-13 00:00:00.0000000,225.0,17:30:00.0000000,0.1,A,37.67,-119.07805556,5,USFS,CA,39.0,39.0,Madera
11545,-119.1425,37.6925,11546,11599,FS-1439424,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,49,INF 1101,C4B1,SHADOW,,,,,,2006,2006-08-15 17:00:00.0000000,228,15:00:00.0000000,4,Campfire,2006-08-17 00:00:00.0000000,229.0,12:00:00.0000000,0.1,A,37.6925,-119.1425,5,USFS,CA,51.0,51.0,Mono
11583,-118.95666667,37.65666667,11584,11637,FS-1439470,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,50,INF 1193,C5BL,DIAMOND,,,,,,2006,2006-08-25 17:00:00.0000000,238,11:15:00.0000000,4,Campfire,2006-08-26 00:00:00.0000000,238.0,12:00:00.0000000,0.1,A,37.65666667,-118.95666667,5,USFS,CA,51.0,51.0,Mono
11815,-118.66666667,37.7852777800001,11816,11869,FS-1439819,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,3,CA-INF-648,B6UP,GHOST,,,,,,2006,2006-06-23 17:00:00.0000000,175,13:50:00.0000000,1,Lightning,2006-06-28 00:00:00.0000000,179.0,16:30:00.0000000,84.0,C,37.78527778,-118.66666667,5,USFS,CA,51.0,51.0,Mono
11820,-118.66972222,37.8011111100001,11821,11874,FS-1439828,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,14,CA-INF-750,B6UP,GLASS FIRE,,,,,,2006,2006-07-04 17:00:00.0000000,186,12:25:00.0000000,1,Lightning,2006-07-05 00:00:00.0000000,186.0,19:00:00.0000000,4.5,B,37.80111111,-118.66972222,5,USFS,CA,51.0,51.0,Mono
11824,-119.0,37.82527778,11825,11878,FS-1439833,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,25,CA-INF-831,B6UP,PUNCH,,,,,,2006,2006-07-18 17:00:00.0000000,200,08:00:00.0000000,1,Lightning,2006-07-20 00:00:00.0000000,201.0,21:00:00.0000000,0.3,B,37.82527778,-119.0,5,USFS,CA,51.0,51.0,Mono
11839,-118.76222222,38.0966666700001,11840,11893,FS-1439856,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,34,CA-INF-867,B6UP,ALAMEDA,,,,,,2006,2006-07-20 17:00:00.0000000,202,19:00:00.0000000,1,Lightning,2006-07-21 00:00:00.0000000,202.0,22:20:00.0000000,0.1,A,38.09666667,-118.76222222,5,USFS,CA,51.0,51.0,Mono
11841,-119.18722222,37.98972222,11842,11895,FS-1439858,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,38,CA-INF-918,B6UP,INN FIRE,,,,,,2006,2006-07-24 17:00:00.0000000,206,13:40:00.0000000,1,Lightning,2006-07-25 00:00:00.0000000,206.0,20:00:00.0000000,0.1,A,37.98972222,-119.18722222,5,USFS,CA,51.0,51.0,Mono
11843,-118.96777778,37.9400000000001,11844,11897,FS-1439861,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,43,CA-INF1002,B6UP,SAND,,,,,,2006,2006-08-03 17:00:00.0000000,216,15:50:00.0000000,1,Lightning,2006-08-04 00:00:00.0000000,216.0,20:36:00.0000000,0.1,A,37.94,-118.96777778,5,USFS,CA,51.0,51.0,Mono
11844,-119.11388889,37.7577777800001,11845,11898,FS-1439862,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,44,CA-INF1003,B6UP,CARSON,,,,,,2006,2006-08-03 17:00:00.0000000,216,16:10:00.0000000,1,Lightning,2006-08-05 00:00:00.0000000,217.0,15:30:00.0000000,0.5,B,37.75777778,-119.11388889,5,USFS,CA,51.0,51.0,Mono
13995,-118.62055556,37.52527778,13996,14056,FS-1442763,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,20,INF796,CYL7,SHERWIN,,,,,,2006,2006-07-12 17:00:00.0000000,194,13:01:00.0000000,2,Equipment Use,2006-07-13 00:00:00.0000000,194.0,14:38:00.0000000,0.1,A,37.52527778,-118.62055556,5,USFS,CA,51.0,51.0,Mono
13996,-118.49444444,37.12305556,13997,14057,FS-1442764,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,51,INF 1150,C5F3,THIRD LAKE,,,,,,2006,2006-08-19 17:00:00.0000000,232,20:00:00.0000000,4,Campfire,2006-08-21 00:00:00.0000000,233.0,13:00:00.0000000,0.1,A,37.12305556,-118.49444444,5,USFS,CA,27.0,27.0,Inyo
